reviewId,creationDate,criticName,criticPageUrl,reviewState,isFresh,isRotten,isTopCritic,publicationName,scoreSentiment,originalScore,movieId
1912176,1966-07-30,Jennie Kermode,/critics/jennie-kermode,fresh,True,False,False,Eye for Film,POSITIVE,0.8,7602d2ab-c9bc-3439-9cd6-d3a06e81728e
1895073,1998-08-21,Scott Nash,/critics/scott-nash,fresh,True,False,False,Three Movie Buffs,POSITIVE,0.75,4128b2f6-8c69-396a-a83d-0d44eb90e5f7
25507,2000-01-01,Roger Ebert,/critics/roger-ebert,fresh,True,False,True,Chicago Sun-Times,POSITIVE,0.75,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25508,2000-01-01,n/a,n/a,rotten,False,True,True,Empire Magazine,NEGATIVE,0.4,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25509,2000-01-01,Joe Brown,/critics/joe-brown,fresh,True,False,True,Washington Post,POSITIVE,0.0,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25510,2000-01-01,Hal Hinson,/critics/hal-hinson,rotten,False,True,True,Washington Post,NEGATIVE,0.0,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25516,2000-01-01,Steve Rhodes,/critics/steve-rhodes,rotten,False,True,False,Internet Reviews,NEGATIVE,0.5,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25518,2000-01-01,James O'Ehley,/critics/james-oehley,rotten,False,True,False,Sci-Fi Movie Page,NEGATIVE,0.625,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25519,2000-01-01,Marc Savlov,/critics/marc-savlov,fresh,True,False,True,Austin Chronicle,POSITIVE,0.7,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25525,2000-01-01,Chris Hicks,/critics/chris-hicks,rotten,False,True,False,Deseret News (Salt Lake City),NEGATIVE,0.0,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
768090,2000-01-01,Mark R. Leeper,/critics/mark-r-leeper,fresh,True,False,False,rec.arts.movies.reviews,POSITIVE,0.8,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
